scenario,adoption_rate,density,isolated_students,degree_gini,giant_component_share,mean_satisfaction,group_balance_index
AS_IS_Self_Selection,0.0,0.011809045226130653,29,0.40076595744680854,0.82,0.44544156340818036,0.973379416597719
ACN_No_B1,0.505,0.026180904522613065,7,0.4281573896353168,0.965,0.6284571432256729,0.6181113599123852
ACN_With_B1,0.87,0.11608040201005025,5,0.19341125541125548,0.975,0.7871392347217986,0.6639811994584197
ACN_Low_Adoption_20,0.37,0.025829145728643216,11,0.4736673151750974,0.935,0.6218496745684439,0.6348275252514898
