scenario,trial,cohort_size,success_rate,median_formation_days,p95_matching_latency_seconds,isolated_students,group_balance_index,schedule_score,satisfaction_score
AS_IS_WhatsApp,1,200,0.45,4.186156932766135,,110,0.3528263946030148,0.7750035029284903,0.47979835855453834
AS_IS_WhatsApp,2,200,0.525,3.947416224853643,,95,0.3723021627497426,0.7590425063464752,0.47542698985047244
AS_IS_WhatsApp,3,200,0.45,6.00245377051752,,110,0.36445566698685483,0.7538693251087158,0.4770153154028684
AS_IS_WhatsApp,4,200,0.425,4.546366002014858,,115,0.3534911742309559,0.7544303950641865,0.4620884381592317
AS_IS_WhatsApp,5,200,0.375,6.455739613323779,,125,0.3723256709324274,0.7667931640571632,0.4874879214380013
AS_IS_WhatsApp,6,200,0.5,3.592413275182178,,100,0.35527675742870635,0.7751255648019117,0.4544916413386173
AS_IS_WhatsApp,7,200,0.525,4.400796678169013,,95,0.35740224557505407,0.7778020022018955,0.45215328014990236
AS_IS_WhatsApp,8,200,0.475,6.182865799811525,,105,0.34553116799550737,0.7842471532266724,0.48938474764715245
AS_IS_WhatsApp,9,200,0.525,5.569248338598332,,95,0.369631543803252,0.7828718995878157,0.49040930990244525
AS_IS_WhatsApp,10,200,0.4,4.595798744540454,,120,0.3439279277241626,0.7591606134326059,0.45913302732623024
AS_IS_WhatsApp,11,200,0.45,7.425388894913076,,110,0.35143188986611773,0.7614013586388154,0.4434540796268084
AS_IS_WhatsApp,12,200,0.35,3.315343884335149,,130,0.36091607993322217,0.7795967312943425,0.496087081495469
AS_IS_WhatsApp,13,200,0.475,4.7403960930327935,,105,0.370701794001432,0.7639767193423701,0.4666649224717431
AS_IS_WhatsApp,14,200,0.475,6.36513074150007,,105,0.3455995308506,0.7788120886096789,0.501226039238093
AS_IS_WhatsApp,15,200,0.5,3.9666440063709434,,100,0.35594994116569734,0.7731689596675517,0.44548282038238807
AS_IS_WhatsApp,16,200,0.45,7.03246451073338,,110,0.3522279432809917,0.7813105648793499,0.43269937908210016
AS_IS_WhatsApp,17,200,0.325,5.597121033022105,,135,0.3531524391707344,0.7645368078036819,0.43027362932038205
AS_IS_WhatsApp,18,200,0.45,3.789815517221513,,110,0.34902227858686063,0.7648216746570269,0.5333352475571481
AS_IS_WhatsApp,19,200,0.525,2.870603982108681,,95,0.3392746708995711,0.7734766234082636,0.5034485842422505
AS_IS_WhatsApp,20,200,0.4,3.740829926515794,,120,0.3474410670245743,0.7824303601741736,0.41965303490773553
AS_IS_WhatsApp,21,200,0.525,6.733302713254991,,95,0.3244101444905564,0.76616391820397,0.4922516251560645
AS_IS_WhatsApp,22,200,0.375,5.498502403148775,,125,0.3526170490630296,0.7704591027191394,0.5360468318340144
AS_IS_WhatsApp,23,200,0.55,4.18598081607367,,90,0.3651412813219497,0.7632187843891012,0.5072504424812022
AS_IS_WhatsApp,24,200,0.425,5.892646632672714,,115,0.35325423519337795,0.7599725934750481,0.39104024352410083
AS_IS_WhatsApp,25,200,0.525,5.252491314557954,,95,0.3612762116066986,0.777173233230724,0.4367111749160285
AS_IS_WhatsApp,26,200,0.55,4.590445572188365,,90,0.3571648544825614,0.7876097265587136,0.4459437975480074
AS_IS_WhatsApp,27,200,0.425,4.9975387399139795,,115,0.34604017319844765,0.7612884182922455,0.49669112787829744
AS_IS_WhatsApp,28,200,0.4,4.898109362900484,,120,0.3494130652532175,0.7606432459945892,0.40152550725664093
AS_IS_WhatsApp,29,200,0.525,4.480882171966992,,95,0.334119430014331,0.7915645136353169,0.40074185194550593
AS_IS_WhatsApp,30,200,0.375,4.465594985189884,,125,0.3652867344723665,0.7638733996006952,0.40624424911736357
AS_IS_WhatsApp,31,200,0.35,2.4131556965409864,,130,0.33265807982295703,0.7867352110676432,0.4519768382979322
AS_IS_WhatsApp,32,200,0.4,4.192884631583572,,120,0.3432479716269068,0.7853580269518888,0.5082635523582674
AS_IS_WhatsApp,33,200,0.45,3.2333353428193394,,110,0.356057345633465,0.7646323071193177,0.4454227359597532
AS_IS_WhatsApp,34,200,0.575,4.640104931102308,,85,0.33583291394568326,0.7725065345420024,0.38012378235992694
AS_IS_WhatsApp,35,200,0.45,4.297619754530078,,110,0.34220902435519285,0.7745525513103397,0.478091684351608
AS_IS_WhatsApp,36,200,0.5,4.649558943435972,,100,0.35904609492757766,0.7642715337694509,0.42414437426215335
AS_IS_WhatsApp,37,200,0.475,4.563686076848562,,105,0.36294446427186944,0.7528429284677607,0.41928982999270176
AS_IS_WhatsApp,38,200,0.5,6.504917233648281,,100,0.3565583371647694,0.7892267486722357,0.4776545214522923
AS_IS_WhatsApp,39,200,0.525,4.0525455684424205,,95,0.3560254229321939,0.7656818077548856,0.47810812743240727
AS_IS_WhatsApp,40,200,0.45,6.070081729658693,,110,0.34841128742455196,0.7547838862801357,0.4836683400558366
AS_IS_WhatsApp,41,200,0.475,4.721496385387144,,105,0.3518271368920274,0.7450652173612211,0.3605165700386057
AS_IS_WhatsApp,42,200,0.375,4.247365918923552,,125,0.359822679614655,0.7795007186621821,0.45228067322648485
AS_IS_WhatsApp,43,200,0.575,5.72961329969874,,85,0.3666539552572514,0.7792553098903083,0.45899558613261415
AS_IS_WhatsApp,44,200,0.5,5.33436113080433,,100,0.3298293456452417,0.761259700375837,0.463907147901534
AS_IS_WhatsApp,45,200,0.55,5.277278545811754,,90,0.3508132410675304,0.7780734552722981,0.45428242984427836
AS_IS_WhatsApp,46,200,0.35,5.038054719109754,,130,0.33466417213247013,0.7808991332156927,0.46121167628176557
AS_IS_WhatsApp,47,200,0.475,5.504030561984525,,105,0.35761202464711483,0.7793876087688609,0.48673584754116594
AS_IS_WhatsApp,48,200,0.4,4.234782280905874,,120,0.3371658107185916,0.7791059213289444,0.4496665791621025
AS_IS_WhatsApp,49,200,0.475,4.089424691292111,,105,0.33883598495892686,0.7708983614792734,0.4628718145301371
AS_IS_WhatsApp,50,200,0.5,5.903263875447495,,100,0.3449871336270885,0.7749209570891576,0.37845022648533866
AS_IS_WhatsApp,51,200,0.425,6.105391497090129,,115,0.3438053112346625,0.7657482683488315,0.40922094952546495
AS_IS_WhatsApp,52,200,0.6,4.541569695285899,,80,0.3583828250139235,0.7771241017320749,0.43433013479340526
AS_IS_WhatsApp,53,200,0.375,4.213771559868896,,125,0.33341727148440276,0.7886391933648664,0.47993867909015836
AS_IS_WhatsApp,54,200,0.375,5.782151225933535,,125,0.36970318127418655,0.7751073132798674,0.5244691246426987
AS_IS_WhatsApp,55,200,0.375,5.523333049128433,,125,0.365021748839172,0.7732130231639733,0.4486216867346329
AS_IS_WhatsApp,56,200,0.575,4.992166398806731,,85,0.3392291494172688,0.777703771679791,0.4467142875698841
AS_IS_WhatsApp,57,200,0.325,7.522632161749643,,135,0.34154193258529675,0.7933200312040919,0.5076577982854904
AS_IS_WhatsApp,58,200,0.55,5.111574382393464,,90,0.3561110727778899,0.7677201772205485,0.5249414125525733
AS_IS_WhatsApp,59,200,0.45,4.338680856134552,,110,0.3444949297493032,0.767796822533066,0.44765030531557926
AS_IS_WhatsApp,60,200,0.45,4.374803555608957,,110,0.3477464525714318,0.7413273216899242,0.48984599728912
AS_IS_WhatsApp,61,200,0.5,5.0674973272303205,,100,0.3498413348754208,0.7733372465054249,0.4725607564767364
AS_IS_WhatsApp,62,200,0.4,3.955711341383407,,120,0.36913179627976966,0.7786085295540488,0.43202925048037166
AS_IS_WhatsApp,63,200,0.4,3.2953378622267167,,120,0.37786652691558054,0.7756000014828093,0.46770764926111513
AS_IS_WhatsApp,64,200,0.35,4.952683418311596,,130,0.3627604898404391,0.7833947967418884,0.48900570092846307
AS_IS_WhatsApp,65,200,0.5,6.257903490606834,,100,0.3439054453563837,0.7789183711737365,0.42997825065107226
AS_IS_WhatsApp,66,200,0.375,4.876035602463266,,125,0.34890879672417374,0.7801152031941555,0.38236978827108553
AS_IS_WhatsApp,67,200,0.575,5.4894466546519745,,85,0.34750260485257056,0.7719857634016809,0.5330994777201713
AS_IS_WhatsApp,68,200,0.625,6.169662958072306,,75,0.3533629354462611,0.7643527216110223,0.45483124528367225
AS_IS_WhatsApp,69,200,0.475,6.8872781039856985,,105,0.3495562410623727,0.7588988090124815,0.3878223487867412
AS_IS_WhatsApp,70,200,0.3,4.271417119094004,,140,0.37706438459070035,0.7799869414444168,0.4419607172492951
AS_IS_WhatsApp,71,200,0.4,5.072171793844138,,120,0.34476635567338115,0.7634943400891918,0.4347475111413438
AS_IS_WhatsApp,72,200,0.475,4.4945307203395295,,105,0.35446223318908177,0.7517837193711674,0.4607573566437945
AS_IS_WhatsApp,73,200,0.4,3.3947498236916083,,120,0.32944246015351863,0.7581837530386168,0.42087316140460557
