scenario,week,adoption_rate,density,isolated_students,degree_gini,giant_component_share,mean_satisfaction,group_balance_index
AS_IS_Self_Selection,12,0.0,0.011809045226130653,29,0.40076595744680854,0.82,0.44544156340818036,0.973379416597719
ACN_No_B1,12,0.505,0.026030150753768844,7,0.4280984555984557,0.965,0.6284571432256729,0.6181113599123852
ACN_With_B1,12,0.87,0.11608040201005025,5,0.19293722943722957,0.975,0.7864660401783548,0.6559258523966235
ACN_Low_Adoption_20,12,0.37,0.02577889447236181,11,0.4732358674463939,0.935,0.6218496745684439,0.6348275252514898
